name,category,description,price,sizes,material,brand
"Classic One-Piece Swimsuit","Women's Swimwear","Elegant black one-piece with supportive design and removable padding",75.99,"XS,S,M,L,XL","Nylon/Spandex","AquaFit"
"Tropical Bikini Set","Women's Swimwear","Vibrant tropical print bikini with triangle top and tie closure",45.99,"XS,S,M,L","Polyester/Elastane","BeachWave"
"High-Waisted Retro Bikini","Women's Swimwear","Vintage-inspired high-waisted bikini bottom with bandeau top",55.99,"S,M,L,XL","Recycled Polyester","EcoSwim"
"Sports Performance Swimsuit","Women's Swimwear","Athletic swimsuit designed for competitive swimming and training",89.99,"XS,S,M,L,XL,XXL","Chlorine-Resistant Polyester","ProSwim"
"Quick-Dry Board Shorts","Men's Swimwear","Professional board shorts with 4-way stretch and quick-dry technology",65.99,"S,M,L,XL,XXL","Polyester/Elastane","WaveRider"
"Competition Swim Briefs","Men's Swimwear","High-performance swim briefs for competitive swimming",35.99,"S,M,L,XL","Polyester/PBT","SpeedLine"
"Cargo Board Shorts","Men's Swimwear","Casual board shorts with multiple pockets and drawstring waist",49.99,"S,M,L,XL,XXL","Cotton/Polyester Blend","Surf Co"
"Compression Swim Shorts","Men's Swimwear","Form-fitting swim shorts with compression technology",42.99,"S,M,L,XL","Nylon/Lycra","FitSwim"
"Mermaid Tail Swimsuit","Kids' Swimwear","Magical mermaid-themed one-piece with shimmery tail design",32.99,"2T,3T,4T,5T,6,7,8","Polyester/Spandex","AquaKids"
"Superhero Swim Trunks","Kids' Swimwear","Fun superhero-themed swim trunks with bold graphics",24.99,"2T,3T,4T,5T,6,7,8","Quick-Dry Polyester","HeroSwim"
"Rainbow Rash Guard Set","Kids' Swimwear","Colorful rash guard with matching shorts for UV protection",38.99,"2T,3T,4T,5T,6,7","UPF 50+ Polyester","SunSafe"
"Ocean Adventure Wetsuit","Kids' Swimwear","Full-body wetsuit for cold water activities",85.99,"XS,S,M,L","Neoprene","DeepSea"
"Professional Swimming Goggles","Swimwear Accessories","Anti-fog goggles with UV protection and adjustable strap",28.99,"One Size","Silicone/Polycarbonate","AquaVision"
"Microfiber Beach Towel","Swimwear Accessories","Ultra-absorbent and quick-dry beach towel",34.99,"Large","Microfiber","BeachDry"
"Waterproof Phone Case","Swimwear Accessories","Universal waterproof phone case rated IPX8",19.99,"Universal","TPU/PVC","AquaGuard"
"Swim Training Fins","Swimwear Accessories","Professional training fins for improved swimming technique",45.99,"XS,S,M,L,XL","Rubber/Silicone","SwimPro"
"Floating Pool Noodle","Swimwear Accessories","Versatile foam pool noodle for recreation and training",12.99,"One Size","EPE Foam","PoolFun"
"Swim Cap Set","Swimwear Accessories","Silicone swim caps in assorted colors - pack of 3",22.99,"One Size","100% Silicone","CapMaster"
